0.0 0.00000
0.1 0.05919
0.2 0.36551
0.3 0.96374
0.4 1.81897
0.5 2.89444
0.6 4.03302
0.7 5.04605
0.8 5.83646
0.9 6.41111
1.0 6.79994
1.1 7.04563
1.2 7.17368
1.3 7.21445
1.4 7.19039
1.5 7.11978
1.6 7.01631
1.7 6.89036
1.8 6.74959
1.9 6.59954
2.0 6.44427
2.1 6.28652
2.2 6.12841
2.3 5.97138
2.4 5.81630
2.5 5.66382
2.6 5.51441
2.7 5.36839
2.8 5.22597
2.9 5.08727
3.0 4.95231
3.1 4.82110
3.2 4.69358
3.3 4.56969
3.4 4.44935
3.5 4.33247
3.6 4.21897
3.7 4.10873
3.8 4.00166
3.9 3.89766
4.0 3.79666
4.1 3.69855
4.2 3.60325
4.3 3.51067
4.4 3.42073
4.5 3.33334
4.6 3.24845
4.7 3.16596
4.8 3.08581
4.9 3.00792
5.0 2.93223
5.1 2.85868
5.2 2.78719
5.3 2.71771
5.4 2.65018
5.5 2.58454
5.6 2.52074
5.7 2.45871
5.8 2.39841
5.9 2.33979
6.0 2.28279
6.1 2.22737
6.2 2.17348
6.3 2.12108
6.4 2.07012
6.5 2.02056
6.6 1.97237
6.7 1.92549
6.8 1.87988
6.9 1.83553
7.0 1.79237
7.1 1.75039
7.2 1.70955
7.3 1.66981
7.4 1.63114
7.5 1.59351
7.6 1.55689
7.7 1.52125
7.8 1.48657
7.9 1.45281
8.0 1.41995
8.1 1.38797
8.2 1.35682
8.3 1.32650
8.4 1.29698
8.5 1.26823
8.6 1.24024
8.7 1.21298
8.8 1.18643
8.9 1.16057
9.0 1.13538
9.1 1.11084
9.2 1.08694
9.3 1.06365
9.4 1.04096
9.5 1.01885
9.6 0.99730
9.7 0.97631
9.8 0.95584
9.9 0.93589
10.0 0.91646
10.1 0.89751
10.2 0.87903
10.3 0.86101
10.4 0.84344
10.5 0.82631
10.6 0.80960
10.7 0.79331
10.8 0.77741
10.9 0.76191
11.0 0.74678
11.1 0.73202
11.2 0.71762
11.3 0.70357
11.4 0.68986
11.5 0.67648
11.6 0.66342
11.7 0.65067
11.8 0.63822
11.9 0.62606
12.0 0.61420
12.1 0.60262
12.2 0.59130
12.3 0.58025
12.4 0.56946
12.5 0.55892
12.6 0.54862
12.7 0.53856
12.8 0.52873
12.9 0.51912
13.0 0.50973
13.1 0.50056
13.2 0.49159
13.3 0.48283
13.4 0.47426
13.5 0.46588
13.6 0.45769
13.7 0.44968
13.8 0.44184
13.9 0.43419
14.0 0.42669
14.1 0.41936
14.2 0.41219
14.3 0.40517
14.4 0.39830
14.5 0.39158
14.6 0.38501
14.7 0.37857
14.8 0.37228
14.9 0.36611
15.0 0.36007
15.1 0.35416
15.2 0.34837
15.3 0.34270
15.4 0.33715
15.5 0.33170
15.6 0.32638
15.7 0.32116
15.8 0.31605
15.9 0.31104
16.0 0.30613
16.1 0.30131
16.2 0.29660
16.3 0.29198
16.4 0.28745
16.5 0.28300
16.6 0.27865
16.7 0.27438
16.8 0.27019
16.9 0.26608
17.0 0.26205
17.1 0.25811
17.2 0.25423
17.3 0.25043
17.4 0.24670
17.5 0.24304
17.6 0.23944
17.7 0.23591
17.8 0.23245
17.9 0.22906
18.0 0.22573
18.1 0.22246
18.2 0.21924
18.3 0.21608
18.4 0.21298
18.5 0.20994
18.6 0.20695
18.7 0.20402
18.8 0.20114
18.9 0.19830
19.0 0.19552
19.1 0.19278
19.2 0.19010
19.3 0.18746
19.4 0.18486
19.5 0.18231
19.6 0.17980
19.7 0.17735
19.8 0.17492
19.9 0.17254
